Origin_Country,Age_Arrived,Sex,Years_as_Resident,Native_Language,Target_Language,Education_days,Enrolled_Coruse,Speaking,Written_Understanding
Algeria,29,Male,1,Arabic,French,4,83,486,0.595079
Morocco,24,Female,11,Arabic,French,3,49,492,0.595079
Libya,29,Male,2,Arabic,Italian,4,103,487,0.595079
Morocco,22,Male,6,Arabic,French,3,49,494,0.595079
Iraq,37,Female,4,Arabic,English,4,47,476,0.595079
Morocco,34,Male,1,Arabic,French,4,49,446,0.595079
Morocco,27,Male,19,Arabic,Dutch,1,49,371,0.595079
Morocco,28,Female,10,Arabic,French,4,49,487,0.595079
Iraq,41,Male,3,Arabic,English,4,47,463,0.595079
Morocco,24,Male,1,Arabic,French,4,49,491,0.595079
Morocco,30,Male,2,Arabic,French,4,49,540,0.595079
Morocco,21,Female,2,Arabic,French,3,49,527,0.595079
Iraq,29,Male,3,Arabic,English,4,47,521,0.595079
Algeria,25,Female,4,Arabic,French,4,83,541,0.595079
Tunisia,29,Female,4,Arabic,French,3,85,508,0.595079
Morocco,29,Male,2,Arabic,French,4,49,558,0.595079
Morocco,36,Female,3,Arabic,French,3,49,502,0.595079
Morocco,22,Male,9,Arabic,French,3,49,495,0.595079
Morocco,19,Female,4,Arabic,Monolingual,1,49,544,0.595079
Morocco,28,Male,2,Arabic,French,3,49,494,0.595079
